,MSE,R2,CV_R2_Mean,CV_R2_Std
Linear Regression,24.291119474973513,0.668759493535632,0.7244357342240262,0.06353380118752605
Random Forest,7.912745333333333,0.8920995891343227,0.8261832485720959,0.04753061201024118
Gradient Boosting,6.208180149640464,0.9153435172426863,0.8510931502575201,0.054640067231480384
